Taxa;ho3384;nh2118;ni0665;ni8189;nl7187;nn0966;no1740;nq3967;nq5400;nr5193;nt5910;nu0687;nu9969;nv7285;nv8762;ob4811;ob4860;oc0909;oc9785;od3399;of7414;og2901;oh3122;oh7156;oj7527;ok1999;ok6402;ol8811;om2144;om2763;om3324;om9255;om9313;on2945;on9775;oo5194;oo9790;os0506;os8566;ot4853;ou2004;ou9249;ox1581;ox6960;ox7729;oy8593;oz3346;oz6471;pa4637;pa6483;pb7910;pb9866;pd7678;ph1503;ph8318;pk4172;pk6045;pk7308;wp3927;wq5251;wr8031;wt7239;wt9623;wu1289;wu1636;wu6007;wv0777;wv2773;wv7822;wx2334;wy2804;wz0104;xa2543;xa7120;xb2260;xb9489;xc8845;xg6068;xk0827;xk4530;xk7699;xl4463;xl5106;xl7086;xm9487;xn1582;xo3595;xo3728;xo4734;ye6753
Flexispira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Succinivibrio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2137;0;0;123;0;0
Citrobacter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erwinia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Morganella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Proteus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Providencia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Serratia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yersinia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enterobacteriaceae_unclassified_AVS1;0;0;79;0;0;0;43;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;40;0;0;11;0;0;0;0;0;10;37;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;27;0;61;0;137;0;0;25;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enterobacteriaceae_unclassified_AVS2;14;1749;411;0;0;0;45;0;0;0;0;67;0;0;0;11;0;0;9;0;0;25;0;0;48;71;37;49;0;0;124;27;0;0;0;17;9;24;42;60;10;0;5;0;28;79;8;3;107;20;0;0;0;0;0;149;9;0;0;0;0;0;66;0;9;0;3;0;27;0;0;14;2;10;0;0;44;11;18;0;28;7;0;55;0;7;0;45;22;0
Aggregatibacter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Haemophilus;0;0;17;0;15;0;0;6;0;0;0;0;5;0;26;6;0;0;55;0;54;0;0;0;6;23;3;0;0;0;0;0;0;0;0;7;15;0;0;33;0;9;0;0;0;0;0;0;8;0;0;0;11;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;3;0;0;0;0
Pasteurellaceae_unclassified_AvS1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pasteurellaceae_unclassified_AVS2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pseudomonas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;0;4;4;0;0;0;0;3;0;0;5;0;3;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gammaproteobacteria_unclassified;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Treponema;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cloacibacillus;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pyramidobacter;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[Saccharibacteria];0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
Unassigned;0;12;0;0;0;16;0;11;14;16;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;5;98;0;0;9;0;4;0;0;18;0;0;0;3;0;6;0;0;0;40;0;0;0;3;25;0;0;5;0;57;0;0;0;0;0;0;9;0;68;0;3;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;2;0;12;0;0;0;0;4
Unclassified;0;26;0;0;0;0;0;22;1689;5;0;2;0;0;18;22;0;0;0;0;0;112;2;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;63;0;0;183;119;0;0;77;0;0;0;0;6;96;27;11;0;15;0;0;0;0;105;0;2;0;18;53;0;0;0;0;0;0;0;0;0;0;0;0
Akkermansia;0;249;0;0;34;37;229;154;0;37;0;1110;12;0;97;0;0;19;101;0;6;538;4;15;0;87;66;117;32;141;7;1156;0;0;0;244;0;0;4;385;0;13;0;6;299;148;5;29;0;0;55;304;9;12;4;36;0;1168;1251;0;23;564;0;4;0;14;91;0;0;5;107;0;79;79;0;0;39;6;0;67;659;83;0;0;10;0;0;0;0;0
